0.011609977	52.129
0.017414966	7273.04
0.023219955	75.0184
0.029024943	4935.14
0.034829932	4967.43
0.040634921	7330.43
0.046439909	279.466
0.052244898	5625.51
0.058049887	4394.16
0.063854875	5709.74
0.069659864	5685.8
0.075464853	7219.84
0.081269841	5088.4
0.087074830	4952.43
0.092879819	6487.08
0.098684807	6346.63
0.104489796	3721.97
0.110294785	43.2823
0.116099773	71.257
0.121904762	69.2423
0.127709751	6140.62
0.133514739	5625.96
0.139319728	3422.3
0.145124717	5544.75
0.150929705	5637.38
0.156734694	5617.91
0.162539683	4453.8
0.168344671	9578.4
0.174149660	6292.45
0.179954649	6372.39
0.185759637	4981.04
0.191564626	4026.18
0.197369615	51.6463
0.203174603	74.7623
0.208979592	95.8928
0.214784580	7319.85
0.220589569	4475.36
0.226394558	5594.17
0.232199546	7299.85
0.238004535	5552.09
0.243809524	60.9361
0.249614512	5499.32
0.255419501	279.424
0.261224490	6192.96
0.267029478	4018.36
0.272834467	7323.33
0.278639456	7181.94
0.284444444	67.439
0.290249433	7221.13
0.296054422	5584.16
0.301859410	7443.73
0.307664399	7434.12
0.313469388	7508.45
0.319274376	257.55
0.325079365	259.234	[1] 
0.330884354	261.93	[1] 
0.336689342	262.195	[1] 
0.342494331	262.615	[1] 
0.348299320	534.053	[1] 
0.354104308	527.319	[1] 
0.359909297	529.763	[1] 
0.365714286	529.596	[1] 
0.371519274	526.156	[1] 
0.377324263	528.624	[1] 
0.383129252	529.285	[1] 
0.388934240	526.579	[1] 
0.394739229	529.696	[1] 
0.400544218	528.004	[1] 
0.406349206	526.975	[1] 
0.412154195	528.365	[1] 
0.417959184	526.805	[1] 
0.423764172	527.921	[1] 
0.429569161	527.406	[1] 
0.435374150	529.22	[1] 
0.441179138	528.543	[1] 
0.446984127	530.926	[1] 
0.452789116	530.16	[1] 
0.458594104	530.203	[1] 
0.464399093	528.455	[1] 
0.470204082	529.628	[1] 
0.476009070	526.248	[1] 
0.481814059	529.505	[1] 
0.487619048	526.574	[1] 
0.493424036	529.026	[1] 
0.499229025	526.65	[1] 
0.505034014	529.541	[1] 
0.510839002	527.782	[1] 
0.516643991	529.014	[1] 
0.522448980	529.611	[1] 
0.528253968	527.008	[1] 
0.534058957	530.548	[1] 
0.539863946	526.822	[1] 
0.545668934	530.728	[1] 
